Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Santiago Ascacíbar,Estudiantes LP,MF,,ARG,26.0,21.4,0.19,0.05,0.14,0.08,51.7,2.81,0.14,51.9,81.7,86.2,87.1,64.9,52.2,0.56,0.1,0.33,0.08,0.21,0.23,2.2,6.87,0.0,1.12,2.1,6.26,47.15,757.2,228.27,1.26,-0.03,0.05,0.28,0.75,70.0,1.07,31.17,59.3
Sebastián Boselli,Estudiantes LP,DF,,URU,20.0,8.9,0.11,0.0,0.06,0.01,63.6,0.79,0.22,62.7,78.8,84.2,85.6,61.4,66.7,0.34,0.14,0.33,0.07,0.06,0.11,0.11,5.06,0.0,1.46,0.9,4.04,34.61,691.12,348.31,0.11,-0.01,0.0,0.56,0.22,57.53,0.34,25.39,92.58
Tiago Palacios,Estudiantes LP,FW,MF,URU,22.0,19.4,0.15,0.15,0.22,0.11,43.2,4.44,0.62,13.8,75.0,85.8,77.7,52.7,44.2,0.77,0.05,0.2,0.08,0.33,0.31,9.54,5.1,0.0,0.67,1.39,5.31,30.1,465.36,125.15,1.75,0.05,0.21,0.21,3.14,56.75,4.9,35.77,102.84
Bruno Bianchi,Independiente Rivadavia,DF,,ARG,34.0,11.1,0.0,0.0,0.01,0.0,66.7,0.63,0.0,57.9,72.3,77.8,89.7,43.6,50.0,0.0,0.0,0.0,0.07,0.01,0.0,0.0,1.44,0.0,1.35,1.35,2.07,25.41,577.39,268.47,0.09,0.0,0.0,0.09,0.0,46.04,0.18,18.38,34.68
Diego Tonetto,Independiente Rivadavia,MF,,ARG,35.0,6.9,0.0,0.15,0.06,0.02,38.5,1.16,0.15,47.4,69.0,80.0,71.0,44.1,0.0,0.15,0.0,0.0,0.1,0.08,0.15,1.74,3.48,0.14,0.43,1.59,4.78,24.49,384.2,147.54,0.58,0.13,0.14,0.29,1.3,46.23,0.72,20.72,22.75
Esteban Burgos,Independiente Rivadavia,DF,,ARG,32.0,8.5,0.0,0.0,0.01,0.0,42.9,0.35,0.0,56.0,75.1,84.6,84.9,47.9,0.0,0.23,0.0,0.0,0.04,0.01,0.0,0.12,2.71,0.0,0.94,0.59,2.94,28.35,619.53,244.24,0.12,0.0,0.0,0.71,0.24,46.47,0.0,18.0,57.06
Ezequiel Centurión,Independiente Rivadavia,GK,,ARG,26.0,22.0,0.0,0.0,0.0,0.0,0.0,0.14,0.05,100.0,51.2,100.0,99.1,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,13.09,472.23,384.05,0.0,0.0,0.0,0.05,0.0,27.5,0.0,11.18,55.95
Ezequiel Ham,Independiente Rivadavia,MF,,SYR,29.0,14.2,0.07,0.14,0.19,0.1,5.0,3.18,0.28,18.8,77.3,86.9,83.5,59.1,33.3,0.21,0.05,0.33,0.14,0.29,0.21,3.66,5.49,0.0,0.42,0.42,4.86,32.68,635.07,173.59,1.48,0.04,0.14,0.99,3.24,49.44,0.63,23.66,55.49
Federico Milo,Independiente Rivadavia,DF,,ARG,32.0,6.2,0.0,0.0,0.01,0.03,65.2,1.13,0.16,53.3,56.2,73.2,66.7,27.6,64.3,0.0,0.0,0.0,0.02,0.04,0.0,2.1,2.74,0.0,2.42,3.06,4.35,24.19,426.13,276.77,0.32,-0.03,0.0,0.16,2.26,56.13,2.26,19.19,50.65
Fernando Romero,Independiente Rivadavia,FW,,PAR,23.0,7.3,0.14,0.0,0.13,0.05,50.0,1.23,0.14,23.9,61.3,68.7,73.3,75.0,42.9,0.41,0.08,0.33,0.08,0.18,0.14,4.38,1.23,0.0,0.14,0.68,3.84,10.41,138.63,30.82,0.96,-0.05,0.0,0.0,0.41,30.82,0.96,16.71,23.42
