Player,Position,Nation,Age,Team,90s Played,Save %,Position,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Gonzalo Marinelli,GK,ARG,34.0,Independiente Rivadavia,5.0,90.0,GK,5.0,5.0,0.4,10.0,8.0,2.0,60.0,0.0,3.4,0.25,0.28,35.7,40.5,4.1,0.6,14.8,0.4,0.68,1.6,2.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,58.7,100.0,95.8,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,14.2,481.2,405.6,0.0,0.0,0.0,0.0,0.0,26.0,0.0,7.2,38.6
Gonzalo Marinelli,GK,ARG,34.0,Independiente Rivadavia,5.0,90.0,GK,5.0,5.0,0.4,10.0,8.0,2.0,60.0,0.0,3.4,0.25,0.28,35.7,40.5,4.1,0.6,14.8,0.4,0.68,1.6,2.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,58.7,100.0,95.8,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,14.2,481.2,405.6,0.0,0.0,0.0,0.0,0.0,26.0,0.0,7.2,38.6
Franco Petroli,GK,ARG,25.0,Godoy Cruz,26.0,72.4,GK,26.0,26.0,1.04,98.0,71.0,8.0,26.9,100.0,31.2,0.31,0.24,41.5,38.1,7.5,1.04,15.6,0.31,1.2,2.73,3.77,0.28,,0.0,0.0,0.0,0.0,0.0,0.19,0.04,100.0,68.8,100.0,99.0,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.08,26.42,860.0,649.19,0.0,0.0,0.0,0.04,0.0,40.31,0.0,22.38,63.27
Diego Matías Rodríguez,GK,ARG,34.0,Argentinos Juniors,27.0,73.3,GK,27.0,27.0,1.04,90.0,63.0,8.0,37.0,0.0,26.4,0.26,-0.02,39.0,36.0,2.0,0.67,14.8,0.3,0.98,2.33,3.33,0.31,,0.0,0.0,0.03,0.0,50.0,0.04,0.0,100.0,72.9,98.6,98.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.0,0.04,1.44,21.7,646.19,463.74,0.0,0.0,0.0,0.0,0.0,31.3,0.04,17.59,49.07
Cristopher Fiermarin,GK,URU,26.0,Defensa y Justicia,10.0,64.3,GK,10.0,10.0,1.7,42.0,26.0,0.0,10.0,33.3,15.8,0.31,0.08,40.5,31.1,5.8,0.4,11.4,0.0,1.58,2.6,4.2,0.4,,0.0,0.0,0.0,0.0,50.0,0.4,0.1,100.0,79.6,100.0,98.7,53.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,30.4,794.8,581.0,0.0,0.0,0.0,0.0,0.0,40.4,0.1,21.1,46.8
Enrique Bologna,GK,ARG,41.0,Defensa y Justicia,17.0,75.0,GK,17.0,17.0,0.94,60.0,42.0,7.0,41.2,66.7,18.6,0.27,0.15,43.0,37.9,3.0,0.47,11.9,0.41,1.09,2.47,3.53,0.27,,0.0,0.0,0.0,0.0,0.0,0.29,0.06,100.0,68.3,100.0,96.6,49.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,22.76,734.76,577.65,0.0,0.0,0.06,0.0,0.0,35.35,0.06,17.41,80.0
Leandro Brey,GK,ARG,21.0,Boca Juniors,11.1,86.7,GK,12.0,11.0,0.72,45.0,36.0,7.0,54.5,33.3,12.2,0.21,0.37,26.2,32.5,6.2,0.72,12.9,0.63,1.1,3.24,4.05,0.18,,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,70.3,98.2,96.4,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1.53,19.19,473.6,347.57,0.09,-0.01,0.0,0.09,0.0,30.27,0.0,13.51,35.59
Sergio Romero,GK,ARG,36.0,Boca Juniors,15.9,75.0,GK,16.0,16.0,0.94,60.0,44.0,4.0,31.3,100.0,18.3,0.32,0.21,23.3,31.7,4.4,0.31,11.5,0.25,1.15,2.77,3.77,0.25,,0.0,0.0,0.0,0.0,0.0,0.19,0.0,100.0,72.2,99.0,98.2,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.31,21.7,493.4,361.7,0.0,0.0,0.0,0.0,0.0,31.57,0.0,14.34,48.62
Ezequiel Centurión,GK,ARG,26.0,Independiente,22.0,75.0,GK,22.0,22.0,1.05,84.0,60.0,8.0,36.4,33.3,20.0,0.21,-0.14,28.6,45.9,6.1,0.32,9.4,0.36,0.91,2.73,3.82,0.27,,0.0,0.0,0.0,0.0,0.0,0.14,0.05,100.0,51.2,100.0,99.1,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,13.09,472.23,384.05,0.0,0.0,0.0,0.05,0.0,27.5,0.0,11.18,55.95
Ezequiel Centurión,GK,ARG,26.0,Independiente,22.0,75.0,GK,22.0,22.0,1.05,84.0,60.0,8.0,36.4,33.3,20.0,0.21,-0.14,28.6,45.9,6.1,0.32,9.4,0.36,0.91,2.73,3.82,0.27,,0.0,0.0,0.0,0.0,0.0,0.14,0.05,100.0,51.2,100.0,99.1,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,13.09,472.23,384.05,0.0,0.0,0.0,0.05,0.0,27.5,0.0,11.18,55.95
Gonzalo Marinelli,GK,ARG,34.0,Independiente,5.0,90.0,GK,5.0,5.0,0.4,10.0,8.0,2.0,60.0,0.0,3.4,0.25,0.28,35.7,40.5,4.1,0.6,14.8,0.4,0.68,1.6,2.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,58.7,100.0,95.8,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,14.2,481.2,405.6,0.0,0.0,0.0,0.0,0.0,26.0,0.0,7.2,38.6
Gonzalo Marinelli,GK,ARG,34.0,Independiente,5.0,90.0,GK,5.0,5.0,0.4,10.0,8.0,2.0,60.0,0.0,3.4,0.25,0.28,35.7,40.5,4.1,0.6,14.8,0.4,0.68,1.6,2.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,100.0,58.7,100.0,95.8,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.6,14.2,481.2,405.6,0.0,0.0,0.0,0.0,0.0,26.0,0.0,7.2,38.6
Rodrigo Rey,GK,ARG,32.0,Independiente,27.0,81.5,GK,27.0,27.0,0.63,81.0,63.0,9.0,55.6,33.3,23.1,0.26,0.22,41.3,37.4,8.6,0.59,12.2,0.33,0.86,2.33,3.0,0.21,,0.0,0.0,0.0,0.0,100.0,0.15,0.0,87.5,70.7,98.7,99.3,47.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.07,0.74,21.56,645.19,479.67,0.04,0.0,0.0,0.04,0.0,32.44,0.04,16.78,69.89
Marcelo Miño,GK,ARG,26.0,Barracas Central,10.0,79.4,GK,10.0,10.0,1.4,63.0,50.0,1.0,40.0,0.0,15.2,0.23,0.22,39.3,41.5,3.4,0.3,11.3,0.1,1.52,5.0,6.3,0.22,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,59.4,87.5,93.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,18.6,681.0,582.6,0.0,0.0,0.0,0.0,0.0,34.1,0.0,15.3,73.2
Rafael Ferrario,GK,ARG,23.0,Barracas Central,8.0,71.4,GK,8.0,8.0,1.0,28.0,21.0,2.0,25.0,0.0,7.6,0.28,0.08,39.1,49.9,6.7,0.75,11.4,0.25,0.95,2.62,3.5,0.29,,0.0,0.0,0.0,0.0,0.0,0.75,0.12,66.7,52.5,100.0,95.2,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,14.5,663.88,603.12,0.0,0.0,0.0,0.0,0.0,29.12,0.0,11.38,48.12
Sebastián Moyano,GK,ARG,33.0,Barracas Central,9.0,81.4,GK,9.0,9.0,1.22,43.0,33.0,1.0,22.2,0.0,13.6,0.25,0.4,42.1,31.9,7.6,1.67,14.8,0.11,1.51,3.67,4.78,0.26,,0.0,0.0,0.0,0.0,0.0,0.11,0.0,100.0,76.9,97.4,96.8,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,25.56,697.33,528.33,0.0,0.0,0.0,0.0,0.0,36.11,0.0,15.44,69.0
Hernán Galíndez,GK,ECU,36.0,Huracan,24.0,80.6,GK,24.0,24.0,0.58,67.0,53.0,10.0,54.2,0.0,18.6,0.27,0.19,28.3,40.4,6.4,0.33,10.2,0.42,0.78,2.21,2.79,0.21,,0.0,0.0,0.0,0.0,100.0,0.21,0.0,100.0,61.9,98.3,98.9,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.83,20.71,636.08,452.5,0.04,0.0,0.0,0.08,0.0,34.83,0.0,17.12,60.79
Ignacio Chicco,GK,ARG,27.0,Belgrano,7.3,68.0,GK,8.0,7.0,1.1,25.0,17.0,3.0,28.6,0.0,7.0,0.29,-0.14,36.7,31.5,8.0,1.37,14.9,0.41,0.96,2.33,3.42,0.32,,0.0,0.0,0.0,0.0,0.0,0.14,0.0,100.0,76.7,100.0,100.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,2.05,24.79,625.21,457.67,0.0,0.0,0.0,0.0,0.0,33.7,0.0,19.45,68.9
Juan Espínola,GK,PAR,29.0,Belgrano,14.7,76.9,GK,15.0,15.0,1.02,65.0,50.0,3.0,26.7,0.0,16.1,0.25,0.07,32.2,40.5,10.3,0.82,11.7,0.2,1.1,3.4,4.42,0.23,,0.0,0.07,0.0,0.03,100.0,0.34,0.07,66.7,62.0,98.4,97.6,39.2,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.07,0.0,0.0,0.07,1.02,20.34,637.41,496.12,0.07,0.04,0.0,0.2,0.0,35.17,0.0,19.18,76.73
Nahuel Losada,GK,ARG,30.0,Belgrano,5.0,74.1,GK,5.0,5.0,1.8,27.0,19.0,2.0,20.0,0.0,7.8,0.23,-0.04,34.2,36.9,5.3,0.8,11.5,0.4,1.56,3.8,5.4,0.33,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,100.0,72.4,100.0,98.5,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,1.06,23.29,664.88,501.88,0.06,0.0,0.0,0.06,0.0,34.65,0.0,15.35,50.59
Nahuel Losada,GK,ARG,30.0,Belgrano,5.0,74.1,GK,5.0,5.0,1.8,27.0,19.0,2.0,20.0,0.0,7.8,0.23,-0.04,34.2,36.9,5.3,0.8,11.5,0.4,1.56,3.8,5.4,0.33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,64.8,100.0,95.5,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,21.4,600.6,471.4,0.0,0.0,0.0,0.0,0.0,36.6,0.0,17.8,51.0
Tomás Marchiori,GK,ARG,28.0,Velez Sarsfield,25.6,82.9,GK,26.0,26.0,0.59,76.0,61.0,13.0,57.7,33.3,17.9,0.21,0.15,32.6,34.6,4.4,0.82,14.6,0.51,0.7,2.38,2.97,0.2,,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,71.0,97.7,97.7,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.66,21.41,570.59,368.28,0.0,0.0,0.04,0.04,0.0,31.68,0.0,16.02,54.14
Luis Ingolotti,GK,ARG,24.0,Central Cordoba SdE,26.0,70.9,GK,26.0,26.0,1.31,110.0,75.0,8.0,23.1,33.3,32.4,0.29,-0.06,30.4,36.8,7.6,0.88,13.9,0.31,1.25,2.88,4.23,0.31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7,63.8,100.0,95.1,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.88,17.12,468.46,371.77,0.0,0.0,0.0,0.04,0.0,28.73,0.0,13.42,43.46
Manuel Roffo,GK,ARG,23.0,Instituto,27.0,69.1,GK,27.0,27.0,1.15,94.0,63.0,10.0,25.9,33.3,29.2,0.29,-0.03,39.9,40.7,8.6,0.48,10.5,0.37,1.08,2.33,3.48,0.33,,0.0,0.0,0.0,0.0,0.0,0.22,0.0,92.9,68.3,98.3,100.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.7,18.74,621.48,484.44,0.07,0.0,0.0,0.0,0.0,29.22,0.0,16.33,67.22
